name,address,ward,localAuthority,lon,lat
Betfred,79 Erskine Street M15 4BS,Hulme,Manchester,-2.2596076,53.4651912
Ladbrokes,304-306 Oxford Road M13 9NS,Hulme,Manchester,-2.2303476,53.4627834
Paddy Power,958-960 Stockport Road M19 3NN,Levenshulme,Manchester,-2.1917816,53.4435667
Betfred,835-837 Stockport Road M19 3PW,Levenshulme,Manchester,-2.191148,53.4439301
William Hill,988-990 Stockport Road M19 3WN,Levenshulme,Manchester,-2.1907723,53.4424867
Paddy Power,551-553 Stockport Road M12 4JH,Longsight,Manchester,-2.2003337,53.4571371
Betfred,177 Dickenson Road M13 0YN,Longsight,Manchester,-2.2107902,53.4541749
William Hill,101 Beresford Road M13 0TA,Longsight,Manchester,-2.2020764,53.4510901
William Hill,108 Northmoor Road M12 5RS,Longsight,Manchester,-2.1931437,53.4558639
William Hill,562-564 Stockport Road M12 4JJ,Longsight,Manchester,-2.2007993,53.4568666
Ladbrokes,"20,22 Queens Walk, Droylsden M43 7AR",Longsight,Manchester,-2.1947889,53.4572719
Paddy Power,49 Old Church Street M40 2JN,Miles Platting and Newton Heath,Manchester,-2.1803931,53.5010487
Coral Racing Ltd,88-90 Old Church Street M40 2JF,Miles Platting and Newton Heath,Manchester,-2.1809527,53.5009545
William Hill,109 Culcheth Lane M40 1LY,Miles Platting and Newton Heath,Manchester,-2.175179,53.496556
William Hill,59/61 Old Church Street M40 2JN,Miles Platting and Newton Heath,Manchester,-2.1800527,53.5009008
Stan James,353 Claremont Road M14 7NB,Moss Side,Manchester,-2.2319278,53.4527992
Betfred,292-294 Claremont Road M14 4EP,Moss Side,Manchester,-2.2365725,53.4531833
William Hill,"Unit 5, 10A Wilmslow Road M14 5TP",Moss Side,Manchester,-2.2262629,53.45679
Coral Racing Ltd,14 Broadway M40 3LN,Moston,Manchester,-2.1672404,53.5205026
Betfred,344 Palatine Road M22 4HE,Northenden,Manchester,-2.2573234,53.4086812
William Hill,369-371 Palatine Road M22 4FY,Northenden,Manchester,-2.2572793,53.4079865
William Hill,"74 Mauldeth Road West, Withington M20 3FQ",Old Moat,Manchester,-2.231217,53.4383028
William Hill,"Unit 1, 21 Copson Street M20 3HE",Old Moat,Manchester,-2.2298209,53.4338126
William Hill,160 Hollyhedge Road M22 9UE,Sharston,Manchester,-2.2585751,53.3883868
William Hill,110-112 Withington Road M16 8FA,Whalley Range,Manchester,-2.2576175,53.4530459
Coral Racing Ltd,533 Wilmslow Road M20 4BA,Withington,Manchester,-2.2283961,53.4307635
William Hill,102 Mauldeth Road M14 6SQ,Withington,Manchester,-2.2139996,53.4351772
Stan James,"Unit C, Hale Top, Civic Centre, Wythenshawe M22 5RN",Woodhouse Park,Manchester,-2.2626544,53.3797771
Coral Racing,"Unit 24, Wythenshawe Shopping Centre, Wythenshawe M22 5RN",Woodhouse Park,Manchester,-2.2622497,53.378839
Totesport,"15  Hale Top, Civic Centre, Wythenshawe M22 5RP",Woodhouse Park,Manchester,-2.2618554,53.3792058
Totesport,5-6 Eldon Precinct OL8 1JP,Alexandra,Oldham,-2.1147149,53.5359698
Ladbrokes,"Unit 27, Chadderton PresinctChadderton OL9 0LQ",Chadderton North,Oldham,-2.140977,53.5452471
Ladbrokes Ltd,"Unit 10 Chadderton Shopping Precinct, Middleton Road, Chadderton OL9 0LQ",Chadderton North,Oldham,-2.1410034,53.5455849
Coral Racing Ltd,"Unit 26 Chadderton Precinct, Middleton Road, Chadderton OL9 0LJ",Chadderton North,Oldham,-2.140977,53.5452471
Coral Racing Ltd,"Top Flat, 347 Moston Lane M40 9NB",Chadderton South,Oldham,-2.1657509,53.521148
Betfred,"1/3 Coalshaw Green Road, Chadderton OL9 8JW",Chadderton South,Oldham,-2.1452813,53.5295556
Betfred,"Unit 36B, Spindles Shopping Centre OL1 1HE",Coldhurst,Oldham,-2.1147393,53.5411888
Ladbrokes,23A-25 Market Place OL1 3AB,Coldhurst,Oldham,-2.1149374,53.5421839
Ladbrokes,265 Featherstall Road North OL1 2NJ,Coldhurst,Oldham,-2.1248566,53.5488313
Ladbrokes,283 Featherstall Road North OL1 2NH,Coldhurst,Oldham,-2.1240736,53.5491428
Ladbrooks,35 Albion Street OL1 3BQ,Coldhurst,Oldham,-2.1197667,53.5494509
Paddy Power,13-15 Henshaw Street OL1 1NH,Coldhurst,Oldham,-2.115376,53.543534
Coral Racing Ltd,20-24 Henshaw Street OL1 3AA,Coldhurst,Oldham,-2.1149954,53.5442035
William Hill,18 High Street OL1 1JA,Coldhurst,Oldham,-2.1128119,53.5419228
Coral,"6 Partington Street, Failsworth M35 9RD",Failsworth East,Oldham,-2.1539996,53.5084669
William Hill,"2-4 Ashton Road East, Failsworth M35 9PT",Failsworth East,Oldham,-2.1534429,53.5101361
William Hill,"723A Oldham Road, Failsworth M35 9AU",Failsworth East,Oldham,-2.1465842,53.5180759
William Hill,"760/762 Oldham Road, Failsworth M35 9FE",Failsworth East,Oldham,-2.1472608,53.5170305
Coral Racing Ltd,"Unit 10, Failsworth Precinct, Failsworth M35 0EJ",Failsworth West,Oldham,-2.1587193,53.5097572
Coral Racing Ltd,Unit 2 Failsworth Precinct M35 0FF,Failsworth West,Oldham,-2.1587193,53.5097572
Whitehouse Bookmakers,692 Hollins Road OL8 4JZ,Hollinwood,Oldham,-2.1331788,53.5213191
Ladbrokes,2 Hollins Road OL8 3EA,Medlock Vale,Oldham,-2.1115575,53.5267141
Ladbrokes Ltd,312-318 Ashton Road OL8 3ED,Medlock Vale,Oldham,-2.1117499,53.5271718
Ladbrokes Ltd,"5-7 Market Square, Royton OL2 5QD",Royton North,Oldham,-2.1234234,53.5661897
Coral Racing Ltd,Unit 2 Market Square OL2 5QD,Royton North,Oldham,-2.1227419,53.5662577
William Hill,"11-13 Market Street, Royton OL2 5QA",Royton North,Oldham,-2.123694,53.565785
William Hill,"101 High Street, Lees OL4 4LY",Saddleworth West and Lees,Oldham,-2.0710219,53.5377683
William Hill,175 Huddersfield Road OL1 3PA,St James',Oldham,-2.0904054,53.5469885
