OBJECTID,ListEntry,Name,Grade,ListDate,AmendDate,CaptureScale,hyperlink,NGR,Easting,Northing,area_code,area_name
46209,1067932,"5 And 6, Church Brow",II,1979-08-09T00:00:00Z,1986-02-27T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067932,SJ 75790 86836,375790,386836.36084392,E08000009,Trafford
46210,1067933,"7, Church Brow",II,1979-08-09T00:00:00Z,1986-04-03T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067933,SJ 75779 86831,375779,386831.36084392,E08000009,Trafford
46211,1067934,"Denehill
 And The Old Vicarage",II,1985-07-12T00:00:00Z,1986-04-03T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067934,SJ 75442 86875,375442,386875.36084392,E08000009,Trafford
46212,1067935,"Piers, Railings And Walls Bounding St Marys Graveyard On West, East And North Sides",II,1985-07-12T00:00:00Z,1986-04-03T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067935,SJ 75912 86820,375912,386820.36084392,E08000009,Trafford
46213,1067936,Milestone In Grounds Of The Priory,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067936,SJ 76006 85666,376006.345,385666.69684392,E08000009,Trafford
46214,1067937,Sundial In Grounds Of The Priory,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067937,SJ 76052 85716,376052.268,385716.83284392,E08000009,Trafford
46215,1067938,Barn To North Of Moss Farmhouse,II,1976-04-26T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067938,SJ 76572 86410,376572,386410.36084392,E08000009,Trafford
46216,1067939,"Obelisk
Obelisk In Whiteoaks Wood",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067939,SJ 73253 87988,373253,387988.36084392,E08000009,Trafford
46217,1067940,Greenbank,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067940,SJ 72416 87927,372416,387927.36084391,E08000009,Trafford
46218,1067941,Bridgewater Canal Aqueduct And Adjoining Bridge 1/4 Mile South Of Woodhouse Lane Aqueduct,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067941,SJ7285487462,372854.300901413,387462.104452133,E08000009,Trafford
46219,1067942,Carriage House Immediately To South Of Kitchen Courtyard,I,1959-03-05T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067942,SJ 73444 87349,373443.575,387349.84984392,E08000009,Trafford
46220,1067943,Gateway In Bounding Wall Opposite Kitchen Gardens,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067943,SJ7371987551,373719.44659996,387550.797300339,E08000009,Trafford
46221,1067944,Orangery,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067944,SJ7353487512,373534.081102371,387512.485200882,E08000009,Trafford
46226,1067949,Church Of St George,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067949,SJ 76744 88196,376744,388196.36084392,E08000009,Trafford
46227,1067950,Victoria Terrace,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067950,SJ 76551 87510,376551,387510.36084392,E08000009,Trafford
46228,1067951,Downs Place,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067951,SJ 76483 87483,376483,387483.36084392,E08000009,Trafford
46229,1067952,"8, Dunham Road",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067952,SJ7673388042,376733.425802231,388042.337400436,E08000009,Trafford
46230,1067953,Stamford Estates Office And National Trust Shop,II,1949-12-06T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067953,SJ7671587989,376714.589799881,387988.580900192,E08000009,Trafford
46231,1067954,Watling Gate,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067954,SJ 77342 90077,377342,390077.36084392,E08000009,Trafford
46232,1067955,St Alban's Vicarage,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067955,SJ 76671 89593,376671,389593.36084391,E08000009,Trafford
46233,1067956,Former Canal Warehouse Adjacent To Coal Wharf,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067956,SJ 76550 89028,376550,389028.36084392,E08000009,Trafford
46234,1067957,"No. 5, Market Street",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067957,SJ 76756 87999,376756,387999.36084392,E08000009,Trafford
46235,1067958,"10 And 12, Market Street",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067958,SJ7673788009,376736.918401718,388008.749700546,E08000009,Trafford
46236,1067959,"2, 4, 6 And 8, Normans Place",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067959,SJ 76540 87728,376540,387728.36084392,E08000009,Trafford
46237,1067960,Old Market Tavern,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067960,SJ 76784 88104,376784,388104.36084391,E08000009,Trafford
46238,1067961,Church Of St John The Evangelist,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067961,SJ 76616 87375,376616,387375.36084392,E08000009,Trafford
46239,1067962,Clock Tower On Station Forecourt,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067962,SJ 76939 87900,376939,387900.36084392,E08000009,Trafford
46240,1067963,"Suffolk House, Bradgate,
Holmacre
",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067963,SJ 75780 88052,375780,388052.36084391,E08000009,Trafford
46241,1067964,Bowgreen Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067964,SJ7543985802,375438.971399307,385802.078351974,E08000009,Trafford
61689,1083561,Sundial To South West Of Old Church Of Saint Werburg,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1083561,SJ 69684 89565,369683.975,389565.10384392,E08000009,Trafford
61707,1083579,Wigsey Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1083579,SJ 70066 89521,370066,389521.36084392,E08000009,Trafford
61720,1083592,"Lychgate, Old Church Of Saint Werburg",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1083592,SJ 69730 89575,369729.603,389575.06384392,E08000009,Trafford
62431,1084309,Tatton Cinema,II,1987-11-13T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1084309,SJ 78390 92113,378390,392113.36084392,E08000009,Trafford
62432,1084310,Oakley,II,1994-10-06T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1084310,SJ 75570 87056,375570,387056.36084391,E08000009,Trafford
62433,1084311,Stamford House,II,1992-04-27T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1084311,SJ7691787856,376916.747602463,387855.592752457,E08000009,Trafford
77158,1099122,Ollerbarrow House,II,1981-11-26T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1099122,SJ7718086676,377179.679800034,386676.311300278,E08000009,Trafford
77200,1099165,Orchard View,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1099165,SJ 72470 87892,372470,387892.36084392,E08000009,Trafford
77929,1099897,Bank Hall,II,1979-04-25T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1099897,SJ 77710 85770,377710,385770.36084392,E08000009,Trafford
77977,1099945,"Hale Station, East Platform Waiting Rooms And Canopy",II,1977-05-02T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1099945,SJ 76988 86913,376988,386913.36084392,E08000009,Trafford
78270,1100238,Davenportgreen Hall,II,1950-03-02T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1100238,SJ 80343 86401,380343,386401.36084392,E08000009,Trafford
78333,1100301,Greystoke,II,1975-10-13T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1100301,SJ 78386 86649,378386,386649.36084391,E08000009,Trafford
