area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,1
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,16
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,1
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,0
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,0
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,3
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,39
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,0
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,8
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,468
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,0
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,35
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,0
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
