area_code,area_name,geography,period,indicator,household_bedrooms,measure,unit,value
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,438
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,140
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,38
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,106
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,292
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,187
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,19
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,132
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,520
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,46
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,35
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,95
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,478
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,49
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,45
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,197
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,426
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,37
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,1
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,12
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,472
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,101
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,38
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,40
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,420
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,136
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,21
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,65
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,392
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,130
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,74
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,152
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,456
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,65
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,10
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,112
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,423
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,75
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,67
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,130
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,391
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,151
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,108
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,79
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,366
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,119
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,67
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,133
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,358
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,141
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,86
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,326
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,332
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,45
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,180
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,259
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,261
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,151
E01006184,Trafford 008D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,120
E01006184,Trafford 008D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,250
E01006184,Trafford 008D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,289
E01006184,Trafford 008D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,96
