area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,187
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,10
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,73
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,3189
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,10
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,687
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,4
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,22
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,12
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,22
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,24
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,294
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,13
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,23
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2757
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,6
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,169
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,3
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,1
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,4
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,10
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,168
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,6
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,60
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2784
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,18
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,141
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,4
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,2
