period,area_code,area_name,geography,sex,age_group,usual_residents
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 25 to 29 years,52600
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 30 to 34 years,48000
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 35 to 39 years,42100
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 40 to 44 years,35800
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 45 to 49 years,31100
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 50 to 54 years,30400
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 55 to 59 years,26700
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 60 to 64 years,21600
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 65 to 69 years,16500
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 70 to 74 years,13800
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 75 to 79 years,9200
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 80 to 84 years,6700
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 85 to 89 years,3800
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 90 years and over,2100
2021-03-21,E08000004,Oldham,Local authority,Females,All ages,123900
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 4 years and under,7900
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 5 to 9 years,8700
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 10 to 14 years,9000
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 15 to 19 years,7900
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 20 to 24 years,7100
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 25 to 29 years,7800
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 30 to 34 years,9000
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 35 to 39 years,8500
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 40 to 44 years,7800
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 45 to 49 years,7400
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 50 to 54 years,7900
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 55 to 59 years,7700
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 60 to 64 years,6400
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 65 to 69 years,5600
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 70 to 74 years,5600
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 75 to 79 years,4200
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 80 to 84 years,2900
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 85 to 89 years,1700
2021-03-21,E08000004,Oldham,Local authority,Females,Aged 90 years and over,1000
2021-03-21,E08000004,Oldham,Local authority,Males,All ages,118200
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 4 years and under,8100
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 5 to 9 years,8800
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 10 to 14 years,9100
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 15 to 19 years,8400
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 20 to 24 years,7100
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 25 to 29 years,7200
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 30 to 34 years,7700
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 35 to 39 years,7700
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 40 to 44 years,7300
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 45 to 49 years,7400
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 50 to 54 years,8200
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 55 to 59 years,7400
