area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 80 to 84 years,5309
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 85 years and over,3522
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,All ages,133935
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years and under,8160
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 to 9 years,8742
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 to 14 years,9255
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 to 19 years,8067
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 to 24 years,7506
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 to 29 years,8759
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 to 34 years,10153
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 to 39 years,10272
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 to 44 years,9081
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 to 49 years,7994
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 to 54 years,9191
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 to 59 years,7458
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 to 64 years,6396
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 to 69 years,5580
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 to 74 years,5365
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 75 to 79 years,5117
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 80 to 84 years,3490
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 85 years and over,3349
