area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 37 years,Female,2070
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 37 years,Male,1876
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 38 years,All persons,3992
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 38 years,Female,2033
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 38 years,Male,1959
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 39 years,All persons,3757
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 39 years,Female,1993
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 39 years,Male,1764
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 40 years,All persons,3987
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 40 years,Female,2056
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 40 years,Male,1931
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 41 years,All persons,3997
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 41 years,Female,1989
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 41 years,Male,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 42 years,All persons,3565
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 42 years,Female,1771
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 42 years,Male,1794
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 43 years,All persons,3536
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 43 years,Female,1787
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 43 years,Male,1749
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 44 years,All persons,3423
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 44 years,Female,1650
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 44 years,Male,1773
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 45 years,All persons,3472
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 45 years,Female,1753
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 45 years,Male,1719
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 46 years,All persons,3591
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 46 years,Female,1809
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 46 years,Male,1782
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 47 years,All persons,3730
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 47 years,Female,1815
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 47 years,Male,1915
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 48 years,All persons,3903
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 48 years,Female,1950
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 48 years,Male,1953
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 49 years,All persons,4072
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 49 years,Female,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 49 years,Male,2064
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 50 years,All persons,4025
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 50 years,Female,2031
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 50 years,Male,1994
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 51 years,All persons,4012
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 51 years,Female,1954
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 51 years,Male,2058
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 52 years,All persons,4013
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 52 years,Female,1931
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 52 years,Male,2082
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 53 years,All persons,4020
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 53 years,Female,2093
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 53 years,Male,1927
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 54 years,All persons,4055
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 54 years,Female,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 54 years,Male,2047
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 55 years,All persons,4079
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 55 years,Female,2019
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 55 years,Male,2060
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 56 years,All persons,3987
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 56 years,Female,2063
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 56 years,Male,1924
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 57 years,All persons,3847
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 57 years,Female,1919
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 57 years,Male,1928
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 58 years,All persons,3673
