area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 30 years,4085
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 31 years,3924
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 32 years,4043
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 33 years,4110
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 34 years,3879
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 35 years,4202
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 36 years,4045
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 37 years,3946
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 38 years,3992
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 39 years,3757
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 40 years,3987
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 41 years,3997
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 42 years,3565
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 43 years,3536
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 44 years,3423
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 45 years,3472
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 46 years,3591
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 47 years,3730
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 48 years,3903
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 49 years,4075
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 50 years,4025
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 51 years,4012
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 52 years,4011
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 53 years,4020
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 54 years,4055
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 55 years,4079
