ward_code,ward_name,year,vacant_seats,candidate,party,votes,ballot_papers_issued,spoiled_ballots,electorate,elected,party_gain
E05000819,Altrincham,2018,2,SAVARY Stephane,Labour Party,846,4133,257,8892,FALSE,na
E05000819,Altrincham,2018,2,STONE Angela Kay,Conservative Party,1342,4133,257,8892,FALSE,na
E05000819,Altrincham,2018,2,WINSTANLEY Barry Gerard,Labour Party,655,4133,257,8892,FALSE,na
E05000820,Ashton upon Mersey,2018,1,GRIME Kevin,UK Independence Party,53,3590,6,7617,FALSE,na
E05000820,Ashton upon Mersey,2018,1,HARTLEY Ben,Labour Party,1568,3590,6,7617,FALSE,na
E05000820,Ashton upon Mersey,2018,1,LAMB John Terence,Conservative Party,1677,3590,6,7617,TRUE,FALSE
E05000820,Ashton upon Mersey,2018,1,POWER Stephen Lee,Liberal Democrats,138,3590,6,7617,FALSE,na
E05000820,Ashton upon Mersey,2018,1,ROBERTSON-BROWN Caroline,Green Party,148,3590,6,7617,FALSE,na
E05000821,Bowdon,2018,1,BARCLAY Karen Myra,Conservative Party,2130,3121,5,7335,TRUE,FALSE
E05000821,Bowdon,2018,1,COOK Jim,UK Independence Party,39,3121,5,7335,FALSE,na
E05000821,Bowdon,2018,1,HASSAN Waseem,Labour Party,422,3121,5,7335,FALSE,na
E05000821,Bowdon,2018,1,HENNERLEY Nigel Robert,Green Party,169,3121,5,7335,FALSE,na
E05000821,Bowdon,2018,1,TOLHURST-CLEAVER Ludo,Liberal Democrats,356,3121,5,7335,FALSE,na
E05000822,Broadheath,2018,1,BAYLEY-SANDERSON Mike,UK Independence Party,56,4218,5,9891,FALSE,na
E05000822,Broadheath,2018,1,BURKE Kate,Conservative Party,1716,4218,5,9891,FALSE,na
E05000822,Broadheath,2018,1,FARNDON Stephen John,Independent,33,4218,5,9891,FALSE,na
E05000822,Broadheath,2018,1,GRESTY Daniel,Green Party,160,4218,5,9891,FALSE,na
E05000822,Broadheath,2018,1,MARRITT Christopher Paul,Liberal Democrats,170,4218,5,9891,FALSE,na
E05000822,Broadheath,2018,1,WHYTE Amy Marie,Labour Party,2077,4218,5,9891,TRUE,FALSE
E05000823,Brooklands,2018,1,JEFFERSON Mike,Conservative Party,1755,4080,4,7844,FALSE,na
E05000823,Brooklands,2018,1,KING Mandy,Green Party,155,4080,4,7844,FALSE,na
E05000823,Brooklands,2018,1,LONGDEN Steven Gregory,Labour Party,1939,4080,4,7844,TRUE,TRUE
E05000823,Brooklands,2018,1,MINNIS Meenakshi,Liberal Democrats,170,4080,4,7844,FALSE,na
E05000823,Brooklands,2018,1,NAYLER Tony,UK Independence Party,55,4080,4,7844,FALSE,na
