date,count,rate,wd15cd,wd15nm,lad15cd,lad15nm
2015-02-01,145,1.9,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
2015-02-01,565,5.4,E05000665,Rumworth,E08000001,Bolton
2015-02-01,255,2.8,E05000666,Smithills,E08000001,Bolton
2015-02-01,380,4.4,E05000667,Tonge with the Haulgh,E08000001,Bolton
2015-02-01,125,1.4,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
2015-02-01,160,1.9,E05000669,Westhoughton South,E08000001,Bolton
2015-02-01,230,3.4,E05000670,Besses,E08000002,Bury
2015-02-01,110,1.9,E05000671,Church,E08000002,Bury
2015-02-01,310,4.3,E05000672,East,E08000002,Bury
2015-02-01,160,2.2,E05000673,Elton,E08000002,Bury
2015-02-01,160,2.2,E05000674,Holyrood,E08000002,Bury
2015-02-01,365,4.7,E05000675,Moorside,E08000002,Bury
2015-02-01,50,0.9,E05000676,North Manor,E08000002,Bury
2015-02-01,80,1.4,E05000677,Pilkington Park,E08000002,Bury
2015-02-01,220,3,E05000678,Radcliffe East,E08000002,Bury
2015-02-01,130,1.9,E05000679,Radcliffe North,E08000002,Bury
2015-02-01,210,2.7,E05000680,Radcliffe West,E08000002,Bury
2015-02-01,100,1.3,E05000681,Ramsbottom,E08000002,Bury
2015-02-01,205,2.7,E05000682,Redvales,E08000002,Bury
2015-02-01,155,2.4,E05000683,St Mary's,E08000002,Bury
2015-02-01,155,2.1,E05000684,Sedgley,E08000002,Bury
2015-02-01,75,1.2,E05000685,Tottington,E08000002,Bury
2015-02-01,115,2,E05000686,Unsworth,E08000002,Bury
2015-02-01,370,2.6,E05000687,Ancoats and Clayton,E08000003,Manchester
2015-02-01,440,3.1,E05000688,Ardwick,E08000003,Manchester
2015-02-01,365,3.8,E05000689,Baguley,E08000003,Manchester
2015-02-01,405,3.2,E05000690,Bradford,E08000003,Manchester
2015-02-01,260,2.8,E05000691,Brooklands,E08000003,Manchester
2015-02-01,235,2.4,E05000692,Burnage,E08000003,Manchester
2015-02-01,355,3.8,E05000693,Charlestown,E08000003,Manchester
2015-02-01,470,2.8,E05000694,Cheetham,E08000003,Manchester
2015-02-01,150,1.4,E05000695,Chorlton,E08000003,Manchester
2015-02-01,185,1.7,E05000696,Chorlton Park,E08000003,Manchester
2015-02-01,70,0.4,E05000697,City Centre,E08000003,Manchester
2015-02-01,415,3.8,E05000698,Crumpsall,E08000003,Manchester
2015-02-01,140,1.4,E05000699,Didsbury East,E08000003,Manchester
2015-02-01,115,1.2,E05000700,Didsbury West,E08000003,Manchester
2015-02-01,255,2.1,E05000701,Fallowfield,E08000003,Manchester
2015-02-01,460,4.2,E05000702,Gorton North,E08000003,Manchester
2015-02-01,480,3.5,E05000703,Gorton South,E08000003,Manchester
2015-02-01,660,5.3,E05000704,Harpurhey,E08000003,Manchester
2015-02-01,305,3.4,E05000705,Higher Blackley,E08000003,Manchester
2015-02-01,375,2.4,E05000706,Hulme,E08000003,Manchester
2015-02-01,240,2,E05000707,Levenshulme,E08000003,Manchester
2015-02-01,320,2.9,E05000708,Longsight,E08000003,Manchester
2015-02-01,490,4.9,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
2015-02-01,690,4.7,E05000710,Moss Side,E08000003,Manchester
2015-02-01,305,3.1,E05000711,Moston,E08000003,Manchester
2015-02-01,300,3.1,E05000712,Northenden,E08000003,Manchester
2015-02-01,320,2.8,E05000713,Old Moat,E08000003,Manchester
2015-02-01,340,3.1,E05000714,Rusholme,E08000003,Manchester
2015-02-01,425,3.9,E05000715,Sharston,E08000003,Manchester
2015-02-01,345,3.1,E05000716,Whalley Range,E08000003,Manchester
2015-02-01,185,1.6,E05000717,Withington,E08000003,Manchester
2015-02-01,365,4,E05000718,Woodhouse Park,E08000003,Manchester
2015-02-01,470,5.8,E05000719,Alexandra,E08000004,Oldham
2015-02-01,130,1.9,E05000720,Chadderton Central,E08000004,Oldham
2015-02-01,145,2.1,E05000721,Chadderton North,E08000004,Oldham
