date,count,rate,lad15cd,lad15nm,cauth15cd,cauth15nm
2016-07-01,5350,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-07-01,2875,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-07-01,10530,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-07-01,4250,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-07-01,3845,2.8,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-07-01,4600,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-07-01,3350,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-07-01,3700,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-07-01,2480,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-07-01,5130,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-08-01,5470,3.1,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-08-01,2945,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-08-01,10605,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-08-01,4285,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-08-01,3905,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-08-01,4555,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-08-01,3375,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-08-01,3740,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-08-01,2505,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-08-01,5285,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-09-01,5420,3.1,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-09-01,2965,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-09-01,10655,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-09-01,4245,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-09-01,3925,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-09-01,4595,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-09-01,3345,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-09-01,3710,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-09-01,2480,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-09-01,5280,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-10-01,5330,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-10-01,2930,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-10-01,10445,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-10-01,4100,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-10-01,3980,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-10-01,4520,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-10-01,3345,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-10-01,3715,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-10-01,2385,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-10-01,5240,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-11-01,5230,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-11-01,2780,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-11-01,10190,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-11-01,4020,2.8,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-11-01,3870,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-11-01,4390,2.7,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-11-01,3370,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-11-01,3645,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-11-01,2350,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-11-01,5220,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-12-01,5175,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-12-01,2675,2.3,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-12-01,9745,2.5,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-12-01,3890,2.7,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-12-01,3750,2.8,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-12-01,4275,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-12-01,3265,1.8,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-12-01,3625,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-12-01,2235,1.5,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-12-01,5150,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-01-01,5235,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-01-01,2685,2.3,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-01-01,9685,2.5,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-01-01,3965,2.8,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-01-01,3880,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-01-01,4260,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-01-01,3230,1.8,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-01-01,3660,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-01-01,2275,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-01-01,5230,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-02-01,5480,3.1,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-02-01,2835,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-02-01,10020,2.6,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-02-01,4155,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-02-01,4150,3.1,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-02-01,4410,2.7,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-02-01,3335,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-02-01,3775,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-02-01,2355,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-02-01,5375,2.7,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-03-01,5665,3.2,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-03-01,2915,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-03-01,10210,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-03-01,4285,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-03-01,4210,3.1,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-03-01,4535,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-03-01,3440,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-03-01,3870,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-03-01,2370,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-03-01,5555,2.7,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-04-01,5800,3.3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-04-01,2970,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-04-01,10330,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-04-01,4240,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-04-01,4310,3.2,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-04-01,4750,2.9,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-04-01,3390,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-04-01,3980,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-04-01,2405,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-04-01,5540,2.7,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-05-01,5830,3.3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
