area_code,area_name,median_price,min_price,max_price,transactions
E01005494,Rochdale 005E,150000,40000,399950,31
E01005555,Rochdale 014A,150000,60000,329995,34
E01006042,Tameside 030A,150000,90000,480000,42
E01006144,Trafford 011C,150000,100000,300000,19
E01006276,Wigan 013E,150000,50000,250000,33
E01006318,Wigan 003E,150000,95000,210000,23
E01004799,Bolton 019C,150250,80000,220000,18
E01005614,Salford 016E,150500,60000,385000,18
E01005899,Stockport 012B,150500,55000,410000,28
E01005317,Manchester 052E,150975,91000,320000,24
E01004779,Bolton 007A,151000,82000,460000,30
E01005359,Oldham 001C,151000,88000,460000,28
E01005054,Bury 013B,151250,85000,418000,28
E01005280,Manchester 026A,151500,55000,290000,7
E01005295,Manchester 049E,151500,61000,326500,48
E01005683,Salford 017C,151995,48500,181995,32
E01005244,Manchester 025C,152000,65000,215000,7
E01005642,Salford 029D,152000,90000,239995,20
E01005983,Tameside 029E,152000,80000,230000,32
E01005987,Tameside 024B,152000,77000,250000,24
E01006063,Tameside 003D,152250,114000,233000,20
E01005237,Manchester 022E,152500,42000,190000,7
E01005516,Rochdale 003A,152500,80000,340000,20
E01005690,Salford 009C,152500,80000,219950,30
E01005938,Tameside 002A,152500,61000,299950,18
E01033662,Manchester 057C,152900,70000,332000,177
E01005223,Manchester 007A,152995,33000,185000,47
E01004770,Bolton 003B,153000,77500,390000,33
E01005163,Manchester 004E,153000,41000,309000,21
E01006069,Tameside 009C,153000,83000,355000,16
E01005934,Tameside 006B,153500,82000,335000,24
E01005335,Oldham 010A,154000,76000,380000,20
E01004983,Bury 020A,154500,65000,315000,38
E01005991,Tameside 024E,154500,104500,240000,36
E01032685,Salford 028E,154950,85000,600000,294
E01005479,Rochdale 017D,154995,90000,237000,33
E01004772,Bolton 005C,155000,48500,278500,15
E01004943,Bury 021C,155000,54950,228000,35
E01005062,Manchester 018B,155000,100000,222000,17
E01005238,Manchester 027F,155000,70000,225000,17
E01005373,Oldham 034B,155000,105000,258000,21
E01005746,Stockport 005B,155000,110000,267450,15
E01005781,Stockport 022E,155000,80000,235000,23
E01005895,Stockport 003C,155000,85000,276000,17
E01005999,Tameside 011B,155000,60000,174995,55
E01006364,Wigan 018C,155000,67500,335000,30
E01033688,Manchester 013G,155000,105500,192250,7
E01005799,Stockport 026D,155500,50000,210000,19
E01032912,Salford 028G,155500,90000,202400,14
E01006321,Wigan 003G,155775,30000,310000,24
E01005230,Manchester 022B,156000,55000,220000,8
E01005922,Stockport 003F,156000,90000,320000,26
E01005554,Rochdale 022F,156500,66950,315000,61
E01005876,Stockport 019D,156500,90000,308000,34
E01006160,Trafford 015B,156750,100000,595000,88
E01005593,Rochdale 004D,156995,60000,259000,37
E01006241,Wigan 017C,156995,63000,295000,76
E01006339,Wigan 039A,157000,135000,220000,17
E01005396,Oldham 004D,157500,103500,350000,22
E01005619,Salford 030D,157500,125000,198000,8
E01006224,Wigan 035D,157500,105000,262000,18
E01004988,Bury 020D,157750,115000,308000,24
E01005060,Bury 013D,157950,71000,650000,35
E01005265,Manchester 044D,158000,70000,359000,14
E01005286,Manchester 026D,158000,76500,300000,21
E01006368,Wigan 018G,158000,45000,596000,25
E01004769,Bolton 003A,158500,50000,517000,34
E01004810,Bolton 002E,159000,75000,380000,29
E01005452,Oldham 007C,159000,90000,575000,8
E01005761,Stockport 026A,159000,138000,260000,17
E01005875,Stockport 015D,159250,106000,247500,36
E01004993,Bury 015C,159497,57000,255000,28
E01005598,Rochdale 002D,159500,39950,310000,28
E01006320,Wigan 003F,159640,124500,232000,13
E01005293,Manchester 052C,159950,117000,196000,19
E01005902,Stockport 012D,159950,113000,198000,9
E01006107,Trafford 017D,159950,110000,325000,24
E01006383,Wigan 028D,159950,98000,307500,31
E01004776,Bolton 031A,160000,55000,340000,43
E01004968,Bury 006B,160000,80000,325000,23
E01005489,Rochdale 005A,160000,52000,327000,19
E01005572,Rochdale 007B,160000,105000,275000,22
E01005645,Salford 029G,160000,136500,285000,25
E01005750,Stockport 009D,160000,90000,295000,31
E01005804,Stockport 023E,160000,86000,385000,13
E01005834,Stockport 031A,160000,113500,277000,23
E01006330,Wigan 031C,160000,86000,370000,25
E01006362,Wigan 018A,160000,87500,400000,31
E01033651,Manchester 054B,160000,101000,250000,43
E01005674,Salford 012B,161225,100000,315000,26
E01006234,Wigan 004C,161225,138000,265000,6
E01005287,Manchester 026E,161250,132000,210000,6
E01005694,Salford 012C,161250,110000,458500,28
E01006171,Trafford 013D,161500,115000,320000,14
E01004975,Bury 023C,161550,85000,290000,35
E01004791,Bolton 006E,161750,88500,399950,26
E01005036,Bury 024C,162000,90000,600000,33
E01006159,Trafford 006C,162000,97500,230000,21
E01006347,Wigan 040E,162000,60000,435000,31
E01005488,Rochdale 006A,162475,115000,230000,30
E01004786,Bolton 006C,162500,77000,277495,40
E01004807,Bolton 001D,162500,95000,530000,30
E01004920,Bolton 012E,162500,65000,650000,41
E01005820,Stockport 018D,162500,115000,365000,29
E01033680,Manchester 028E,162725,117500,340000,10
E01005417,Oldham 013D,163000,85000,650000,33
E01005821,Stockport 018E,163000,72500,235000,33
E01006343,Wigan 039C,163300,97000,297500,18
E01005493,Rochdale 005D,163500,68000,399950,28
E01004995,Bury 018A,164000,74500,220000,25
E01005442,Oldham 002B,164000,120000,308000,19
E01005823,Stockport 018F,164000,84000,285000,35
E01005897,Stockport 010A,164000,122500,370000,23
E01006225,Wigan 036B,164000,69000,292500,18
E01004960,Bury 007E,164950,70000,169950,18
E01005401,Oldham 008D,164950,36250,280000,29
E01006410,Wigan 020E,164950,88000,190995,15
E01032686,Salford 028F,164997,85000,420000,342
E01005049,Bury 003D,165000,59100,325000,29
E01005052,Bury 006D,165000,120000,317000,19
E01005302,Manchester 028C,165000,75000,705000,29
E01005361,Oldham 003A,165000,102500,320000,25
E01005418,Oldham 018D,165000,86500,300000,28
E01005446,Oldham 003C,165000,110000,322000,21
E01005575,Rochdale 011B,165000,101500,1200000,33
E01005676,Salford 005C,165000,100000,332500,23
E01005763,Stockport 026C,165000,80000,295000,28
E01005973,Tameside 026A,165000,70000,275000,21
E01006062,Tameside 003C,165000,57000,260000,24
E01006142,Trafford 011A,165000,80000,340000,27
E01006304,Wigan 040C,165000,78000,560000,22
E01006373,Wigan 006C,165000,68000,470000,25
E01005310,Manchester 036C,165250,56500,330000,4
E01005216,Manchester 034D,165500,39000,540000,36
E01005329,Oldham 015A,165500,70000,325000,42
E01006232,Wigan 004B,165500,84000,642000,44
E01032911,Salford 022J,165500,95000,361500,64
E01005039,Bury 023D,165750,58750,400000,26
E01006126,Trafford 007B,165995,100000,230000,37
E01005272,Manchester 035B,166000,110000,234500,11
E01005620,Salford 030E,166000,69500,321000,44
E01005990,Tameside 024D,166000,82000,321000,20
E01005517,Rochdale 003B,166250,115000,500000,30
E01033652,Manchester 022F,166250,92500,240000,2
E01005116,Manchester 047E,166375,117000,360000,38
