lsoa11cd,lsoa11nm,lad16nm,total_pop,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01004778,Bolton 009A,Bolton,1192,15,13,5,13,15,14,12,9,9,9,14,10,6,15,7,7,12,10,17,13,12,12,14,12,14,7,10,9,12,7,14,9,11,9,7,16,13,8,7,16,8,11,8,11,16,19,21,19,17,25,19,16,16,10,20,16,15,20,17,8,18,9,17,6,15,14,13,15,23,22,29,15,12,24,21,26,17,15,18,18,13,18,9,4,2,8,5,6,5,3,16
E01004780,Bolton 009B,Bolton,2153,18,21,35,27,34,24,32,25,30,24,22,16,23,23,22,22,24,29,18,25,21,7,17,16,24,30,25,38,31,41,33,34,31,27,23,42,26,26,30,29,28,31,21,35,34,33,35,31,34,31,38,30,44,25,27,34,29,26,21,32,22,22,17,25,23,20,23,24,15,35,23,26,18,20,13,13,17,13,9,10,15,14,11,6,8,11,4,7,3,6,16
E01004782,Bolton 009C,Bolton,1140,16,12,16,14,18,16,15,17,18,12,13,15,11,9,7,18,10,9,11,9,8,6,11,5,9,11,11,11,14,10,10,17,11,14,19,12,10,14,12,15,18,17,14,22,15,12,13,16,17,17,19,12,15,10,21,8,12,15,19,13,20,13,20,9,9,12,17,18,20,15,19,14,10,12,14,14,12,10,9,4,11,4,6,7,5,6,7,7,4,2,9
E01004783,Bolton 009D,Bolton,1445,10,10,13,13,16,20,11,8,16,16,12,10,10,11,10,13,18,17,16,14,9,18,12,20,18,13,19,19,7,10,12,22,12,14,19,11,13,12,15,15,12,14,17,19,19,18,15,32,21,32,24,34,23,20,27,20,27,28,16,17,17,23,18,27,18,16,21,25,26,24,19,18,19,17,15,7,14,19,17,13,5,12,7,10,11,6,9,3,3,3,14
E01004802,Bolton 010A,Bolton,1903,26,34,30,25,32,41,38,37,37,40,40,27,25,26,37,36,25,28,31,26,23,22,21,26,22,33,29,25,27,22,24,31,27,19,26,22,31,25,17,23,20,20,20,31,30,26,22,27,28,18,27,30,36,23,23,23,17,15,17,18,26,16,18,18,13,12,16,16,17,18,16,7,9,8,12,9,5,11,7,3,4,7,0,4,5,2,4,4,1,7,1
E01004926,Bolton 010B,Bolton,1301,13,24,21,16,25,30,16,28,23,23,17,33,24,28,21,23,20,29,27,17,12,15,18,16,12,14,23,18,22,14,18,13,25,18,20,11,14,21,11,14,16,13,12,18,24,20,23,16,18,23,25,15,14,19,23,12,14,8,5,16,7,10,17,9,15,10,13,7,7,11,8,3,8,6,3,4,1,5,5,4,4,5,2,3,3,2,1,1,2,1,3
E01004927,Bolton 010C,Bolton,2162,44,38,31,43,35,34,23,29,35,33,29,27,24,20,20,27,22,20,15,28,46,45,45,50,40,49,47,58,52,49,32,43,41,30,38,29,21,20,18,13,24,21,32,23,22,31,31,41,20,22,22,23,25,22,21,21,25,29,12,21,23,11,23,23,27,16,13,17,15,20,10,8,13,5,2,6,13,7,12,7,7,12,8,11,3,2,3,3,3,1,7
E01004929,Bolton 010D,Bolton,1957,32,26,27,28,32,23,35,26,29,24,31,18,22,22,21,24,23,26,19,26,24,23,33,18,29,39,20,32,27,33,23,29,30,45,26,26,25,26,24,23,22,29,21,26,28,25,26,34,25,29,34,24,27,30,32,16,26,29,22,27,20,21,18,12,12,18,19,16,19,17,18,14,12,16,8,5,10,14,7,9,10,8,7,5,6,3,3,3,3,2,21
E01004820,Bolton 011A,Bolton,1582,22,28,28,25,25,32,26,28,22,21,21,18,21,16,18,24,28,23,23,21,31,23,21,21,20,24,26,26,38,25,26,27,26,29,27,30,25,23,20,9,13,24,13,17,25,22,16,18,19,21,23,27,20,19,23,21,20,25,13,18,11,12,15,13,11,11,19,7,11,9,4,7,12,6,6,8,6,9,2,6,3,2,3,2,2,4,4,2,1,0,10
E01004825,Bolton 011B,Bolton,1686,35,36,27,37,44,31,28,28,28,28,22,18,26,25,24,21,23,25,25,27,17,17,11,18,27,27,27,23,34,31,31,37,41,29,27,37,28,20,25,40,19,24,25,22,25,17,18,14,20,16,21,16,20,11,15,19,15,11,15,5,12,18,19,18,18,13,19,11,12,12,11,7,10,7,5,8,10,5,4,4,0,1,1,2,1,1,0,1,0,0,3
E01004826,Bolton 011C,Bolton,1703,44,37,35,29,27,41,37,32,27,32,24,26,24,22,22,36,16,29,26,29,30,19,19,28,17,25,33,30,21,37,23,23,23,24,21,25,25,25,26,31,28,32,31,30,38,17,11,16,16,18,23,25,23,24,15,7,9,15,9,18,9,4,10,13,11,9,17,12,22,13,5,7,7,5,3,2,6,5,6,8,2,3,1,2,2,2,3,1,0,3,5
