AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,text,easting,northing,lng,lat
100282512017,2017-03-25,Mar,Sat,10,Car,Slight,Daylight,Male,6-10,Bolton,At 10:07 on Saturday 25 March 2017 a slight collision occured involving  3 vehicle(s) and  4 casualtie(s).,373474,410487,-2.4022080019073653,53.59028561019776
100282512017,2017-03-25,Mar,Sat,10,Car,Slight,Daylight,Male,0-5,Bolton,At 10:07 on Saturday 25 March 2017 a slight collision occured involving  3 vehicle(s) and  5 casualtie(s).,373474,410487,-2.4022080019073653,53.59028561019776
100282512017,2017-03-25,Mar,Sat,10,Car,Slight,Daylight,Female,36-45,Bolton,At 10:07 on Saturday 25 March 2017 a slight collision occured involving  3 vehicle(s) and  2 casualtie(s).,373474,410487,-2.4022080019073653,53.59028561019776
100283302017,2017-03-26,Mar,Sun,14,Powered 2 Wheeler,Serious,Daylight,Male,21-25,Bolton,At 14:27 on Sunday 26 March 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,364883,410358,-2.5319745685342276,53.588619268400066
100283542017,2017-04-08,Apr,Sat,10,Pedal Cycle,Slight,Daylight,Male,36-45,Bolton,At 10:30 on Saturday 08 April 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370197,405284,-2.4512146124448897,53.54334416546711
100283612017,2017-03-31,Mar,Fri,15,Car,Slight,Dark,Female,46-55,Bolton,At 15:31 on Friday 31 March 2017 a slight collision occured involving  5 vehicle(s) and  1 casualtie(s).,369702,410344,-2.4591767870149335,53.588795098276584
100283942017,2017-02-03,Feb,Fri,10,Other Vehicle,Slight,Daylight,Male,36-45,Bolton,At 10:20 on Friday 03 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370207,411188,-2.4516290734805115,53.596410006490814
100284162017,2017-03-27,Mar,Mon,17,Pedal Cycle,Serious,Daylight,Male,36-45,Bolton,At 17:20 on Monday 27 March 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,372503,407933,-2.4166508254556094,53.5672798981149
100284172017,2017-03-23,Mar,Thu,16,Pedestrian,Serious,Daylight,Male,11-15,Bolton,At 16:30 on Thursday 23 March 2017 a serious collision occured involving  1 vehicle(s) and  1 casualtie(s).,373098,412365,-2.408050911120951,53.607145886129615
100284202017,2017-04-08,Apr,Sat,0,Pedestrian,Slight,Dark,Male,26-35,Bolton,At 00:01 on Saturday 08 April 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,371860,409118,-2.4264664559370175,53.57789650419104
100284212017,2017-04-08,Apr,Sat,18,Pedestrian,Slight,Daylight,Female,6-10,Bolton,At 18:00 on Saturday 08 April 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,363149,411134,-2.5582602199957813,53.5954744513251
100284542017,2017-03-26,Mar,Sun,10,Powered 2 Wheeler,Slight,Daylight,Male,36-45,Bolton,At 10:13 on Sunday 26 March 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,373467,407001,-2.4020162351946515,53.55895284032326
100285482017,2017-04-17,Apr,Mon,1,Car,Serious,Dark,Male,36-45,Bolton,At 01:15 on Monday 17 April 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,365188,405273,-2.526798731647893,53.54293607585723
100285482017,2017-04-17,Apr,Mon,1,Car,Serious,Dark,Male,36-45,Bolton,At 01:15 on Monday 17 April 2017 a serious collision occured involving  2 vehicle(s) and  2 casualtie(s).,365188,405273,-2.526798731647893,53.54293607585723
100286682017,2017-04-06,Apr,Thu,16,Car,Slight,Daylight,Female,36-45,Bolton,At 16:10 on Thursday 06 April 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,373109,412339,-2.4078824164375514,53.606912764786195
100286762017,2017-04-01,Apr,Sat,18,Powered 2 Wheeler,Slight,Daylight,Male,26-35,Bolton,At 18:29 on Saturday 01 April 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372784,405259,-2.4121743164899945,53.5432604603069
100286842017,2017-04-14,Apr,Fri,19,Pedal Cycle,Serious,Daylight,Male,36-45,Bolton,At 19:07 on Friday 14 April 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,370836,408034,-2.441829644076159,53.56809732435637
100286892017,2017-03-04,Mar,Sat,17,Pedestrian,Slight,Daylight,Male,46-55,Bolton,At 17:02 on Saturday 04 March 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,372789,405873,-2.4121525092544776,53.548779415569534
