name,local_authority_code,establishment_number,unique_reference_number,type,gender,lowest_admission_age,highest_admission_age,capacity,resource_provision,religion,trust_type,sponsoring_trust,percent_fsm,ofsted_rating,website,postcode,lon,lat
Park Road Sale Primary School,358,2018,140142,Academies,Mixed,3,11,420,NA,Does not apply,Supported by a single-academy trust,Park Road Sale Primary School,2.4,Outstanding,www.parkroadsale.trafford.sch.uk,M33 6HR,-2.329110410203544,53.42973303084613
Old Trafford Community Academy,358,2076,140738,Academies,Mixed,3,11,420,NA,Does not apply,Supported by a multi-academy trust,Focus Academy Trust (Uk) Ltd,49.3,Requires improvement,www.oldtraffordcommunityacademy.co.uk,M15 4FL,-2.2651412799214716,53.46510928269957
Lime Tree Primary Academy,358,2024,140877,Academies,Mixed,2,11,472,NA,Does not apply,Supported by a multi-academy trust,Bright Futures Educational Trust,23,NA,www.limetree.trafford.sch.uk/,M33 2RP,-2.2986798736339953,53.41703133558527
Manor Academy Sale,358,7008,142288,Academies,Mixed,11,19,200,SEN unit,Does not apply,Supported by a multi-academy trust,The Sovereign Trust,47.3,Good,manoracademysale.org,M33 5JX,-2.354684489552462,53.424743030201995
Pictor Academy,358,7000,142289,Academies,Mixed,2,11,121,NA,Does not apply,Supported by a multi-academy trust,The Sovereign Trust,29.8,Outstanding,NA,WA15 6PH,-2.3256267316505888,53.39732078379481
The Orchards,358,7002,142782,Free Schools,Mixed,3,11,140,NA,Does not apply,Supported by a multi-academy trust,Bright Futures Educational Trust,57,Good,https://theorchards.bright-futures.co.uk/,M32 9TG,-2.3353624363563994,53.45725650126017
Brentwood Community College,358,7901,142914,Other types,Mixed,19,23,24,NA,Does not apply,Not applicable,NA,NA,Good,https://www.brentwoodcommunitycollege.co.uk/,M33 4GY,-2.3575733913240504,53.41393912804267
North Cestrian School,358,6003,143104,Free Schools,Mixed,11,18,755,NA,None,Supported by a multi-academy trust,The Hamblin Education Trust,17.4,Good,www.northcestrian.co.uk/start.html,WA14 4AJ,-2.3559293525346714,53.38822764278875
Partington Central Academy,358,2028,143380,Academies,Mixed,3,11,390,NA,Does not apply,Supported by a multi-academy trust,The Dean Trust,52.3,Good,http://partingtoncentralacademy.co.uk/,M31 4FL,-2.4265860442765437,53.417173026897025
Barton Clough Primary School,358,2016,144649,Academies,Mixed,3,11,210,SEN unit,Does not apply,Supported by a multi-academy trust,Bright Futures Educational Trust,45.3,Good,https://bartonclough.bright-futures.co.uk,M32 9TG,-2.335087420045766,53.45866847009236
Tyntesfield Primary School,358,2071,145485,Academies,Mixed,3,11,462,NA,Does not apply,Supported by a multi-academy trust,Inspiring Learners Multi Academy Trust,3.4,NA,www.tyntesfieldschool.co.uk/,M33 4HE,-2.344834250755242,53.410686795111346
Bollin Primary School,358,2017,145746,Academies,Mixed,3,11,420,NA,Does not apply,Supported by a multi-academy trust,Inspiring Learners Multi Academy Trust,6.5,Good,NA,WA14 3AH,-2.365795522972498,53.37277329722936
Longford Park School,358,7003,147372,Academies,Mixed,4,11,81,SEN unit,Does not apply,Supported by a multi-academy trust,The Sovereign Trust,61,Requires improvement,http://www.longford.trafford.sch.uk,M32 8QJ,-2.294816985271788,53.448015457789396
St Hilda's CofE Primary School,358,3316,147552,Academies,Mixed,3,11,341,NA,Church of England,Supported by a multi-academy trust,Vantage Ce Academies Trust,28.7,Good,www.sthildasprimary.co.uk,M16 0SH,-2.279340527159955,53.45059642842174
"St Antony's Roman Catholic School, a Voluntary Academy",358,4005,148026,Academies,Mixed,11,16,650,NA,Roman Catholic,Supported by a multi-academy trust,Emmaus Catholic Academy Trust,32.9,Requires improvement,https://st-antonys.com/,M41 9PD,-2.3373631640142,53.449376919960784
Changing Lives,358,6010,149213,Special schools,Mixed,11,18,40,NA,NA,Not applicable,NA,NA,Requires improvement,www.carrington-rc.com,M31 4BH,-2.3749239558161106,53.42464521660447
"St Joseph's Catholic Primary School, a Voluntary Academy",358,3312,149875,Academies,Mixed,3,11,420,NA,Catholic,Supported by a multi-academy trust,Corpus Christi Catholic Academy Trust,4.5,NA,www.stjosephstrafford.co.uk,M33 3AF,-2.319015748566554,53.42224600480915
