area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,3
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,2
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,22
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,9
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,37
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,20
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,59
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,29
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,980
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,287
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,262
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,0
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,0
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,7
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,1
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,2
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,0
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,3
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,24
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,5
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,52
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,16
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,76
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,21
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,789
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,289
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,258
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,4
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,0
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,6
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,0
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,7
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,2
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,0
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,17
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,5
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,54
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,15
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,71
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,20
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,1200
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,158
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,135
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,2
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,0
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,9
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,2
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,3
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,0
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,1
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,34
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,3
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,172
