area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,39
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,499
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,221
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,623
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,260
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6638
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1130
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1457
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,60
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,40
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,81
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,34
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,44
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,8
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,2
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,32
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,179
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,29
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,527
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,177
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,706
E05000831,Hale Central,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,206
E05000832,Longford,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,8451
E05000832,Longford,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1078
E05000832,Longford,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1058
E05000832,Longford,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,49
E05000832,Longford,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,25
E05000832,Longford,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,47
E05000832,Longford,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,23
E05000832,Longford,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,38
E05000832,Longford,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,8
E05000832,Longford,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E05000832,Longford,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000832,Longford,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,26
E05000832,Longford,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,239
E05000832,Longford,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,36
E05000832,Longford,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,1414
E05000832,Longford,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,401
E05000832,Longford,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,1653
E05000832,Longford,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,437
E05000833,Priory,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6628
E05000833,Priory,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1324
E05000833,Priory,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1434
E05000833,Priory,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,64
E05000833,Priory,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,22
E05000833,Priory,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,64
E05000833,Priory,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,40
E05000833,Priory,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,27
E05000833,Priory,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,15
E05000833,Priory,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000833,Priory,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000833,Priory,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,23
E05000833,Priory,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,155
E05000833,Priory,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,19
E05000833,Priory,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,1083
E05000833,Priory,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,271
E05000833,Priory,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,1238
E05000833,Priory,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,290
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6530
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1442
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1573
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,26
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,23
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,43
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,20
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,19
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,6
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,1
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,16
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,87
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,13
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,630
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,238
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,717
E05000835,Sale Moor,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,251
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,7321
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1603
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1708
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,24
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,13
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,45
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,23
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,28
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,10
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,1
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,22
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,119
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,13
E05000834,St Mary's,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,572
