AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,long,lat
201506A004110,2015-07-29,Jul,Wed,21,Car,Slight,Dark,Female,45-49,Manchester,-2.240039,53.487741
201506A004110,2015-07-29,Jul,Wed,21,Car,Slight,Dark,Female,15-19,Manchester,-2.240039,53.487741
201506A004204,2015-07-31,Jul,Fri,18,Pedestrian,Slight,Daylight,Male,0-4,Manchester,-2.238156,53.501408
201506A004205,2015-08-02,Aug,Sun,13,Pedestrian,Slight,Daylight,Male,15-19,Manchester,-2.188897,53.475969
201506A004239,2015-08-02,Aug,Sun,0,Car,Slight,Dark,Male,25-29,Manchester,-2.248096,53.473883
201506A004239,2015-08-02,Aug,Sun,0,Pedestrian,Serious,Dark,Male,20-24,Manchester,-2.248096,53.473883
201506A004239,2015-08-02,Aug,Sun,0,Pedestrian,Slight,Dark,Female,20-24,Manchester,-2.248096,53.473883
201506A004239,2015-08-02,Aug,Sun,0,Pedestrian,Slight,Dark,Female,20-24,Manchester,-2.248096,53.473883
201506A004242,2015-08-01,Aug,Sat,14,Powered 2 Wheeler,Serious,Daylight,Male,25-29,Manchester,-2.208445,53.498946
201506A004253,2015-07-28,Jul,Tue,9,Pedestrian,Slight,Daylight,Male,5-9,Manchester,-2.1951,53.481711
201506A004261,2015-07-05,Jul,Sun,21,Car,Slight,Daylight,Male,20-24,Manchester,-2.24866,53.518644
201506A004261,2015-07-05,Jul,Sun,21,Car,Slight,Daylight,Male,20-24,Manchester,-2.24866,53.518644
201506A004261,2015-07-05,Jul,Sun,21,Car,Slight,Daylight,Male,20-24,Manchester,-2.24866,53.518644
201506A004282,2015-07-23,Jul,Thu,11,Pedal Cycle,Slight,Daylight,Male,35-39,Manchester,-2.234994,53.474898
201506A004318,2015-08-09,Aug,Sun,12,Car,Slight,Daylight,Female,10-14,Manchester,-2.2301,53.489199
201506A004318,2015-08-09,Aug,Sun,12,Car,Slight,Daylight,Male,40-44,Manchester,-2.2301,53.489199
201506A004318,2015-08-09,Aug,Sun,12,Car,Slight,Daylight,Female,20-24,Manchester,-2.2301,53.489199
201506A004318,2015-08-09,Aug,Sun,12,Car,Serious,Daylight,Male,30-34,Manchester,-2.2301,53.489199
201506A004363,2015-07-31,Jul,Fri,14,Pedestrian,Slight,Daylight,Male,0-4,Manchester,-2.239515,53.501764
201506A004551,2015-08-06,Aug,Thu,15,Car,Slight,Daylight,Female,45-49,Manchester,-2.224066,53.488222
201506A004551,2015-08-06,Aug,Thu,15,Car,Slight,Daylight,Female,65-69,Manchester,-2.224066,53.488222
201506A004551,2015-08-06,Aug,Thu,15,Car,Slight,Daylight,Female,35-39,Manchester,-2.224066,53.488222
201506A004551,2015-08-06,Aug,Thu,15,Car,Slight,Daylight,Female,45-49,Manchester,-2.224066,53.488222
201506A004558,2015-08-07,Aug,Fri,10,Powered 2 Wheeler,Slight,Daylight,Male,20-24,Manchester,-2.242809,53.471467
201506A004602,2015-08-10,Aug,Mon,18,Pedal Cycle,Serious,Daylight,Male,30-34,Manchester,-2.251566,53.474595
201506A004626,2015-08-09,Aug,Sun,3,Taxi,Slight,Dark,Male,50-54,Manchester,-2.230175,53.475177
201506A004629,2015-08-06,Aug,Thu,20,Car,Slight,Dark,Male,30-34,Manchester,-2.191469,53.444954
201506A004629,2015-08-06,Aug,Thu,20,Car,Slight,Dark,Male,20-24,Manchester,-2.191469,53.444954
201506A004657,2015-08-15,Aug,Sat,2,Pedestrian,Serious,Dark,Male,30-34,Manchester,-2.248731,53.479454
201506A004671,2015-08-09,Aug,Sun,19,Powered 2 Wheeler,Slight,Daylight,Male,15-19,Manchester,-2.196455,53.513888
201506A004671,2015-08-09,Aug,Sun,19,Powered 2 Wheeler,Slight,Daylight,Male,15-19,Manchester,-2.196455,53.513888
201506A004691,2015-08-16,Aug,Sun,11,Other Vehicle,Slight,Daylight,Female,40-44,Manchester,-2.222664,53.479506
201506A004691,2015-08-16,Aug,Sun,11,Other Vehicle,Slight,Daylight,Male,10-14,Manchester,-2.222664,53.479506
201506A004708,2015-08-20,Aug,Thu,11,Car,Slight,Daylight,Female,30-34,Manchester,-2.261967,53.475561
201506A004714,2015-08-01,Aug,Sat,23,Pedestrian,Serious,Dark,Male,30-34,Manchester,-2.226472,53.487229
201506A004734,2015-07-28,Jul,Tue,9,Pedestrian,Slight,Daylight,Male,25-29,Manchester,-2.239807,53.47327
201506A004752,2015-08-22,Aug,Sat,16,Powered 2 Wheeler,Fatal,Daylight,Male,25-29,Manchester,-2.239071,53.476508
201506A004792,2015-08-15,Aug,Sat,1,Car,Fatal,Dark,Male,20-24,Manchester,-2.189354,53.510933
201506A004792,2015-08-15,Aug,Sat,1,Car,Serious,Dark,Male,15-19,Manchester,-2.189354,53.510933
201506A004792,2015-08-15,Aug,Sat,1,Car,Serious,Dark,Male,15-19,Manchester,-2.189354,53.510933
201506A004796,2015-08-18,Aug,Tue,23,Pedestrian,Slight,Dark,Male,35-39,Manchester,-2.239555,53.482170000000004
201506A004814,2015-08-16,Aug,Sun,17,Car,Serious,Daylight,Female,25-29,Manchester,-2.202198,53.516664
201506A004814,2015-08-16,Aug,Sun,17,Car,Slight,Daylight,Male,25-29,Manchester,-2.202198,53.516664
201506A004841,2015-08-15,Aug,Sat,23,Powered 2 Wheeler,Slight,Dark,Male,25-29,Manchester,-2.25174,53.478639
201506A004855,2015-08-22,Aug,Sat,18,Pedestrian,Serious,Daylight,Male,5-9,Manchester,-2.250629,53.520078
201506A004963,2015-08-22,Aug,Sat,18,Car,Slight,Daylight,Male,50-54,Manchester,-2.171765,53.524172
201506A004997,2015-08-22,Aug,Sat,17,Pedal Cycle,Slight,Daylight,Male,45-49,Manchester,-2.171463,53.524173
201506A005014,2015-08-26,Aug,Wed,8,Pedal Cycle,Slight,Daylight,Male,30-34,Manchester,-2.220534,53.475465
201506A005021,2015-08-17,Aug,Mon,16,Pedal Cycle,Slight,Daylight,Male,40-44,Manchester,-2.195474,53.530158
201506A005036,2015-08-21,Aug,Fri,16,Pedestrian,Slight,Daylight,Male,5-9,Manchester,-2.212968,53.499028
201506A005056,2015-08-01,Aug,Sat,3,Pedestrian,Slight,Dark,Male,20-24,Manchester,-2.237569,53.47723
201506A005158,2015-08-25,Aug,Tue,12,Pedal Cycle,Slight,Daylight,Male,45-49,Manchester,-2.221048,53.516271
201506A005166,2015-08-22,Aug,Sat,17,Car,Slight,Daylight,Female,30-34,Manchester,-2.196994,53.500224
201506A005166,2015-08-22,Aug,Sat,17,Car,Slight,Daylight,Male,50-54,Manchester,-2.196994,53.500224
201506A005166,2015-08-22,Aug,Sat,17,Car,Slight,Daylight,Male,10-14,Manchester,-2.196994,53.500224
201506A005166,2015-08-22,Aug,Sat,17,Car,Slight,Daylight,Male,40-44,Manchester,-2.196994,53.500224
201506A005167,2015-08-26,Aug,Wed,12,Taxi,Slight,Daylight,Male,40-44,Manchester,-2.230025,53.475267
201506A005254,2015-08-31,Aug,Mon,4,Car,Slight,Dark,Male,20-24,Manchester,-2.19751,53.481348
201506A005269,2015-08-26,Aug,Wed,15,Car,Slight,Daylight,Female,15-19,Manchester,-2.212798,53.495074
201506A005269,2015-08-26,Aug,Wed,15,Car,Slight,Daylight,Female,35-39,Manchester,-2.212798,53.495074
201506A005299,2015-08-25,Aug,Tue,23,Car,Slight,Dark,Female,15-19,Manchester,-2.16602,53.520945
201506A005350,2015-08-07,Aug,Fri,15,Powered 2 Wheeler,Slight,Daylight,Male,55-59,Manchester,-2.201246,53.506779
201506A005444,2015-08-31,Aug,Mon,19,Car,Slight,Daylight,Female,20-24,Manchester,-2.236189,53.499973
201506A005486,2015-08-29,Aug,Sat,10,Pedestrian,Slight,Daylight,Male,55-59,Manchester,-2.250534,53.478462
201506A005527,2015-08-27,Aug,Thu,17,Car,Slight,Daylight,Female,30-34,Manchester,-2.242479,53.49277
201506A005527,2015-08-27,Aug,Thu,17,Car,Slight,Daylight,Female,10-14,Manchester,-2.242479,53.49277
201506A005527,2015-08-27,Aug,Thu,17,Car,Slight,Daylight,Male,45-49,Manchester,-2.242479,53.49277
201506A005572,2015-08-25,Aug,Tue,17,Pedal Cycle,Slight,Daylight,Male,50-54,Manchester,-2.219166,53.502433
