period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E02001275,Trafford 017,MSOA,Male,4064,1194,2338,532,82,78,78,90,68,80,84,84,79,75,78,55,74,78,61,50,51,57,41,43,46,44,35,53,52,44,44,53,44,51,49,52,57,55,48,45,43,47,36,46,44,42,40,38,37,32,45,43,51,47,56,40,51,76,58,59,56,47,55,52,54,49,42,37,51,31,35,38,29,43,38,36,17,24,24,20,15,23,13,20,16,13,12,15,11,14,8,10,10,6,11
2018-06-30,E02001276,Trafford 018,MSOA,Female,4294,959,2565,770,56,73,52,57,63,70,57,69,63,67,63,47,64,51,40,67,60,56,39,36,27,36,37,24,32,32,44,41,43,40,46,51,64,63,70,64,68,75,68,74,67,63,57,55,49,59,69,72,73,56,47,71,60,68,47,69,55,45,42,47,48,38,42,38,38,39,44,51,46,38,42,54,23,28,40,30,17,28,31,22,24,27,27,16,25,17,19,5,22,11,44
2018-06-30,E02001276,Trafford 018,MSOA,Male,3852,943,2315,594,46,72,61,66,60,55,70,58,57,60,66,61,59,59,58,35,42,47,45,45,34,52,48,42,47,35,31,39,23,42,46,44,52,47,59,57,54,44,56,68,58,58,49,66,51,54,59,54,37,42,51,55,58,56,54,58,40,35,46,47,42,33,36,38,39,30,43,43,41,37,33,45,34,23,32,19,17,22,11,11,12,14,26,20,11,8,12,9,13,6,22
2018-06-30,E02001277,Trafford 019,MSOA,Female,4985,1134,3291,560,68,67,92,67,72,62,75,77,61,77,72,76,75,87,55,51,56,49,49,50,42,47,51,58,65,61,57,81,63,60,70,68,81,107,75,80,85,86,81,103,79,55,86,94,70,77,85,91,88,64,77,74,67,81,67,56,70,55,45,61,50,42,52,42,38,29,30,27,46,35,30,35,34,29,38,31,21,19,24,16,16,12,17,14,8,7,6,5,4,10,17
2018-06-30,E02001277,Trafford 019,MSOA,Male,4629,1285,2881,463,86,75,78,71,82,70,92,93,87,80,103,78,87,68,68,67,71,56,56,46,46,41,39,53,55,48,65,71,48,61,58,73,75,63,77,79,70,78,60,78,53,67,61,58,60,67,59,68,73,74,63,74,58,58,75,66,54,54,51,43,41,40,36,33,28,31,26,22,32,29,37,29,23,29,26,23,19,21,15,9,26,20,9,6,6,7,5,2,1,5,5
2018-06-30,E02001278,Trafford 020,MSOA,Female,4307,939,2581,787,45,50,56,41,65,62,67,53,78,61,75,69,59,44,54,60,56,49,50,21,22,30,20,40,33,36,33,42,30,33,43,38,46,66,64,54,54,64,64,61,61,80,71,62,57,85,81,74,75,49,66,76,57,63,60,63,60,58,57,57,48,42,53,35,42,49,46,44,36,46,62,40,41,46,25,34,20,23,24,14,26,26,20,19,20,12,12,12,14,8,68
2018-06-30,E02001278,Trafford 020,MSOA,Male,4364,989,2604,771,37,46,56,54,62,76,83,64,58,66,73,60,73,59,69,53,57,43,37,35,28,36,32,57,39,37,39,35,37,32,58,42,50,49,59,58,53,67,69,67,66,68,57,74,63,82,71,75,62,67,64,74,69,52,52,67,56,52,57,50,49,47,45,32,37,45,44,43,48,51,55,37,40,40,29,30,26,18,19,28,17,21,15,19,20,23,17,23,16,8,39
2018-06-30,E02001279,Trafford 021,MSOA,Female,4308,863,2579,866,39,51,39,44,66,46,57,59,53,67,61,55,66,49,45,66,57,42,42,28,22,21,26,29,27,27,32,30,31,30,37,35,42,39,46,62,73,64,72,77,61,62,56,81,58,80,79,75,69,66,74,63,70,71,72,56,72,62,57,55,53,52,57,52,35,47,48,52,56,39,50,56,42,34,50,34,31,28,28,28,33,29,28,26,25,14,13,8,17,12,38
2018-06-30,E02001279,Trafford 021,MSOA,Male,4258,977,2544,737,45,40,55,55,64,70,60,71,68,71,60,61,64,76,58,59,46,47,55,30,34,29,33,27,33,35,33,38,35,30,45,33,47,44,43,48,60,59,50,64,59,72,60,69,66,76,74,73,70,72,73,56,70,64,51,73,74,48,61,52,54,49,51,41,38,41,50,43,53,40,35,43,35,26,30,46,32,20,19,31,25,16,21,21,25,14,15,12,14,8,22
2018-06-30,E02001280,Trafford 022,MSOA,Female,4400,856,2645,899,46,45,46,37,46,45,42,61,60,54,73,65,58,65,56,57,62,59,62,46,30,32,39,49,48,40,41,34,32,51,44,44,45,47,55,51,60,51,56,73,71,63,64,73,69,53,68,64,54,63,61,60,74,81,64,60,53,61,57,54,50,45,42,49,41,41,38,51,41,50,62,47,41,46,43,34,27,27,33,25,28,25,20,28,34,23,25,18,20,10,62
