period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E00030787,E00030787,OA,Males,113,17,54,42,0,1,0,0,0,1,1,2,0,3,1,0,1,4,0,3,3,5,1,0,0,0,1,1,0,0,2,0,1,1,0,0,1,0,1,0,1,2,0,0,1,0,1,1,1,0,1,1,2,3,1,0,3,5,1,0,4,0,1,1,2,1,1,1,2,1,1,1,1,3,0,1,2,3,1,1,2,1,4,3,0,2,0,4,2,6,0,2,0,0,1
2018-06-30,E00030787,E00030787,OA,Persons,229,30,105,94,2,2,1,0,0,2,1,3,1,4,2,2,1,5,0,4,7,5,1,1,0,0,1,1,0,1,2,0,3,1,0,1,1,2,2,0,1,5,0,1,3,0,2,2,2,0,3,4,4,3,3,1,6,6,5,4,4,0,1,2,2,2,1,5,4,3,4,4,3,4,2,5,3,6,2,2,7,2,8,5,1,5,0,7,4,9,0,2,1,2,3
2018-06-30,E00030788,E00030788,OA,Females,154,17,91,46,2,0,2,1,0,0,2,2,0,1,2,2,1,1,1,0,4,6,2,0,0,0,1,3,0,0,2,0,0,1,1,0,0,2,2,1,1,1,0,2,0,1,2,6,1,4,3,4,2,4,5,3,3,2,8,0,0,3,2,1,0,3,2,0,3,1,3,1,1,3,2,3,2,1,4,2,0,1,0,3,2,2,2,3,1,1,0,3,3,2,0
2018-06-30,E00030788,E00030788,OA,Males,121,21,72,28,0,0,2,0,0,0,1,2,0,1,2,1,3,0,4,5,2,2,3,2,2,1,1,2,1,0,0,1,0,2,1,1,2,2,1,0,1,3,0,0,0,0,2,3,3,2,0,4,4,0,3,1,2,4,2,1,2,2,1,1,1,3,0,0,1,3,1,0,2,4,2,1,1,2,3,1,1,1,1,2,0,0,0,0,0,0,0,0,2,0,1
2018-06-30,E00030788,E00030788,OA,Persons,275,38,163,74,2,0,4,1,0,0,3,4,0,2,4,3,4,1,5,5,6,8,5,2,2,1,2,5,1,0,2,1,0,3,2,1,2,4,3,1,2,4,0,2,0,1,4,9,4,6,3,8,6,4,8,4,5,6,10,1,2,5,3,2,1,6,2,0,4,4,4,1,3,7,4,4,3,3,7,3,1,2,1,5,2,2,2,3,1,1,0,3,5,2,1
2018-06-30,E00030789,E00030789,OA,Females,116,26,64,26,0,2,3,1,3,2,0,1,2,0,3,3,2,2,1,1,0,0,0,3,0,3,1,1,1,1,2,1,1,2,1,1,1,2,3,1,2,0,3,1,2,2,0,1,1,4,1,1,0,1,2,2,3,0,1,2,0,3,1,0,2,1,0,1,2,2,1,1,1,3,1,1,1,0,1,2,0,2,2,0,0,1,1,1,2,1,0,1,0,0,1
2018-06-30,E00030789,E00030789,OA,Males,134,30,79,25,1,4,4,0,2,4,2,2,0,3,1,1,1,2,0,3,1,0,1,1,1,0,0,1,2,1,1,4,3,2,1,1,1,2,1,2,0,2,1,1,4,3,2,2,0,2,1,1,1,2,2,3,1,2,2,2,3,1,0,3,3,2,2,3,2,4,2,1,0,2,0,0,1,0,1,2,3,1,1,2,0,1,1,1,1,0,0,1,0,0,0
2018-06-30,E00030789,E00030789,OA,Persons,250,56,143,51,1,6,7,1,5,6,2,3,2,3,4,4,3,4,1,4,1,0,1,4,1,3,1,2,3,2,3,5,4,4,2,2,2,4,4,3,2,2,4,2,6,5,2,3,1,6,2,2,1,3,4,5,4,2,3,4,3,4,1,3,5,3,2,4,4,6,3,2,1,5,1,1,2,0,2,4,3,3,3,2,0,2,2,2,3,1,0,2,0,0,1
2018-06-30,E00030790,E00030790,OA,Females,197,37,112,48,0,0,1,0,1,0,3,3,1,3,4,5,3,6,4,3,4,2,3,1,2,0,5,2,4,1,1,2,1,0,1,1,0,2,1,1,2,2,2,0,3,3,2,1,6,5,4,3,5,2,4,1,6,1,4,1,3,5,2,0,3,4,0,2,2,2,2,2,1,4,3,0,4,4,2,2,1,3,1,4,1,0,4,1,0,1,1,1,0,0,4
2018-06-30,E00030790,E00030790,OA,Males,197,36,122,39,4,1,1,3,0,2,1,3,1,2,3,2,3,2,4,4,6,2,3,1,1,1,1,0,1,3,3,1,1,1,0,1,3,2,0,0,2,3,2,0,1,1,7,2,1,6,6,1,2,2,7,2,5,2,4,5,4,8,2,6,3,0,3,1,3,1,1,4,3,3,0,3,1,1,2,1,3,2,4,1,0,0,3,1,0,0,1,0,0,0,4
